X,Y,caracterist,situe_dans_,identifiant,appartient_,lieu_majeur,nom_du_lieu,accroche,commune,code_insee_,accessible_,icon_url
-33.2353935025351,-85.5266083484294,Lieu majeur,0,22,0,11,CimetiÃ¨re Marin de Saint-Paul,,Saint-Paul,974155,Non,./0.png
-33.2354137357258,-85.5266108037007,Lieu majeur,0,155,0,11,BelvÃ©dÃ¨re de Bois-Court,,Tampon (Le),974222,Oui,./0.png
-33.2353837489149,-85.5266119248337,Lieu majeur,0,200,0,11,Parc du Colosse,Le Parc du Colosse est fermÃ© jusqu'Ã  nouvel ordre.,Saint-AndrÃ©,974099,Oui,./0.png
-33.2354313369927,-85.5266102238014,Lieu majeur,0,366,0,11,Plage de Saint-Pierre,Un lagon et une plage de sable blanc au pied de la ville,Saint-Pierre,974166,Non,./0.png
-33.2354024238192,-85.5266115522562,Lieu majeur,0,388,0,11,Takamaka,,Saint-Benoit,974100,Non,./0.png
-33.2354166828201,-85.5266085818727,Lieu majeur,0,511,0,11,Souffleur,,Saint-Leu,974133,Non,./0.png
-33.2354130756503,-85.5266098752955,Lieu majeur,0,544,0,11,FenÃªtre,,Saint-Louis,974144,Non,./0.png
-33.2353927580101,-85.5266084218854,Lieu majeur,0,933,0,11,DÃ©barcadÃ¨re de Saint-Paul,,Saint-Paul,974155,Oui,./0.png
-33.2354341268131,-85.5266108886419,Lieu majeur,0,188,0,11,Plage de Grande Anse,Une baie bordÃ©e de cocotiers et de lataniers avec un bassin,Petite-Ile,974055,Non,./0.png
-33.2354013402201,-85.5266108723739,Lieu majeur,0,399,0,11,ForÃªts de BÃ©bour-BÃ©louve,,Plaine des Palmistes (La),974066,Non,./0.png
-33.2354343219423,-85.5266125468724,Lieu majeur,0,499,0,11,Puits des Anglais,,Saint-Philippe,974177,Non,./0.png
-33.2354363009171,-85.5266117505948,Lieu majeur,0,677,0,11,DÃ©barcadÃ¨re de Langevin,,Saint-Joseph,974122,Non,./0.png
-33.2353846810593,-85.5266116796747,Lieu majeur,0,722,0,11,Cascade DÃ©lices,,Sainte-Suzanne,974200,Non,./0.png
-33.2353847204624,-85.5266120180985,Lieu majeur,0,777,0,11,Temple du Colosse,Une incursion dans la culture tamoule,Saint-AndrÃ©,974099,Non,./0.png
-33.2353774280318,-85.5266100088353,Lieu majeur,0,811,0,11,Canons du Barachois,,Saint-Denis,974111,Oui,./0.png
-33.2354000809615,-85.5266106100236,Lieu majeur,0,955,0,11,Les Trois Cascades,,Salazie,974211,Non,./0.png
-33.2354030999305,-85.5266102987996,Lieu majeur / Appartient au patrimoine mondial / SituÃ© dans un parc national,11,144,11,11,Piton des Neiges,Le plus haut sommet de l'OcÃ©an indien,Cilaos,974244,Non,./0.png
-33.2353938560918,-85.5266081364257,Lieu majeur,0,488,0,11,Cap Lahoussaye,,Saint-Paul,974155,Non,./0.png
-33.2353972890933,-85.5266083093046,Lieu majeur,0,899,0,11,Bassin Bleu,Un bassin dans les anciennes coulÃ©es de lave,Etang-SalÃ©,974044,Non,./0.png
-33.2353949536333,-85.5266080336016,Lieu majeur,0,100,0,11,Plage de Boucan Canot,"Sable blanc, profondeur et coraux",Saint-Paul,974155,Non,./0.png
-33.2353807965997,-85.5266098202324,Lieu majeur,0,599,0,11,Parc du Colorado,,Saint-Denis,974111,Non,./0.png
-33.2354111337561,-85.5266085652608,Lieu majeur,0,655,0,11,Port de Saint-Leu,,Saint-Leu,974133,Non,./0.png
-33.2353979512898,-85.5266080167696,Lieu majeur,0,822,0,11,Plage des Roches Noires,Belle plage de sable blanc au cÅ“ur de la station balnÃ©aire,Saint-Paul,974155,Non,./0.png
-33.2354062569059,-85.5266102918643,Lieu majeur,0,944,0,11,La Roche Merveilleuse,Magnifique point de vue,Cilaos,974244,Non,./0.png
-33.2354297145479,-85.5266117418534,Lieu majeur,0,966,0,11,La Cascade de Trou Noir,Une cascade dans une nature calme et sauvage,Saint-Joseph,974122,Non,./0.png
-33.2354184597327,-85.5266118093386,Lieu majeur,0,111,0,11,Plaine des Sables,Un arrÃªt sâ€™impose pour admirer la Plaine des Sables.,Sainte-Rose,974199,Non,./0.png
-33.2353936066822,-85.5266101333071,Lieu majeur / SituÃ© dans un parc national,11,233,0,11,Roche Ecrite,,Saint-Denis,974111,Non,./0.png
-33.2353979691719,-85.5266080301855,Lieu majeur,0,477,0,11,Port de Saint Gilles,,Saint-Paul,974155,Non,./0.png
-33.2353962744516,-85.5266109736427,Lieu majeur,0,500,0,11,Trou de Fer,,Salazie,974211,Non,./0.png
-33.2354038804809,-85.5266108963469,Lieu majeur,0,611,0,11,Bassin des Hirondelles,,Plaine des Palmistes (La),974066,Non,./0.png
-33.2354064251953,-85.5266130501046,Lieu majeur,0,688,0,11,Marine de Sainte-Rose,,Sainte-Rose,974199,Non,./0.png
-33.2354016414806,-85.5266126933724,Lieu majeur,0,699,0,11,Bassin Bleu,,Saint-Benoit,974100,Non,./0.png
-33.2353887786226,-85.5266106989198,Lieu majeur,0,900,0,11,Plaine des FougÃ¨res,,Sainte-Marie,974188,Non,./0.png
-33.2354061192574,-85.5266126812439,Lieu majeur,0,66,0,11,Pont suspendu de la RiviÃ¨re de l'Est,,Sainte-Rose,974199,Oui,./0.png
-33.2354041601753,-85.5266099667823,Lieu majeur,0,277,0,11,Trois Salazes,,Cilaos,974244,Non,./0.png
-33.2354104565997,-85.5266133697782,Lieu majeur,0,433,0,11,Notre Dame des Laves,,Sainte-Rose,974199,Non,./0.png
-33.2353978469589,-85.5266107074621,Lieu majeur,0,555,0,11,Mare Ã  Poule d'Eau,,Salazie,974211,Non,./0.png
-33.2354276614229,-85.526611732878,Lieu majeur,0,577,0,11,Cascade Grand Galet,Dans les hauts de Saint Joseph,Saint-Joseph,974122,Oui,./0.png
-33.2353951484404,-85.5266108301609,Lieu majeur,0,855,0,11,Place de la Mairie et de l'Eglise Notre Dame de l'Assomption,,Salazie,974211,Non,./0.png
-33.2354198875101,-85.5266123900323,Lieu majeur,0,133,0,11,Piton de la Fournaise,CratÃ¨re Dolomieu,Sainte-Rose,974199,Non,./0.png
-33.2354029620407,-85.526611721547,Lieu majeur,0,166,0,11,Grand Etang,,Saint-Benoit,974100,Non,./0.png
-33.2354000412405,-85.5266100164084,Lieu majeur,0,288,0,11,Col des BÅ“ufs,,Salazie,974211,Non,./0.png
-33.2354027605041,-85.5266081238209,Lieu majeur,0,466,0,11,Plage de La Saline-les-Bains,,Saint-Paul,974155,Oui,./0.png
-33.2353852836142,-85.52661126155,Lieu majeur,0,711,0,11,Bassin BÅ“uf,,Sainte-Suzanne,974200,Non,./0.png
-33.2353789512473,-85.5266100470214,Lieu majeur,0,222,0,11,Jardin de l'Etat,,Saint-Denis,974111,Non,./0.png
-33.23539644831,-85.5266108037033,Lieu majeur,0,255,0,11,Voile de la MariÃ©e,,Salazie,974211,Non,./0.png
-33.2354132816627,-85.5266133950706,Lieu majeur,0,299,0,11,Anse des Cascades,,Sainte-Rose,974199,Non,./0.png
-33.2354012075309,-85.526612647094,Lieu majeur,0,400,0,11,Eglise de Sainte-Anne,,Saint-Benoit,974100,Non,./0.png
-33.2353778331075,-85.5266100286814,Lieu majeur,0,411,0,11,CathÃ©drale Saint-Denis,,Saint-Denis,974111,Non,./0.png
-33.2353861047182,-85.5266118097731,Lieu majeur,0,444,0,11,Temple du Petit Bazar,,Saint-AndrÃ©,974099,Non,./0.png
-33.2353965371773,-85.5266121065021,Lieu majeur,0,600,0,11,Ilet BethlÃ©em,,Saint-Benoit,974100,Non,./0.png
-33.2354345570936,-85.5266109239823,Lieu majeur,0,922,0,11,Piton Grande Anse,,Petite-Ile,974055,Non,./0.png
-33.235378066336,-85.5266100615134,Lieu majeur,0,99,0,11,MosquÃ©e Noor-e-Islam,,Saint-Denis,974111,Non,./0.png
-33.2353774043414,-85.5266100111647,Lieu majeur,0,211,0,11,Barachois,,Saint-Denis,974111,Oui,./0.png
-33.2354242897805,-85.5266131112919,Lieu majeur,0,300,0,11,Route des Laves,,Saint-Philippe,974177,Oui,./0.png
-33.235401340895,-85.526608029191,Lieu majeur,0,322,0,11,"Plage de lâ€™Hermitage, La Passe",,Saint-Paul,974155,Non,./0.png
-33.2353982111645,-85.5266083697409,Lieu majeur,0,422,0,11,Chapelle Pointue,,Saint-Paul,974155,Non,./0.png
-33.2353796879716,-85.5266108075902,Lieu majeur,0,622,0,11,Port de Sainte-Marie,,Sainte-Marie,974188,Non,./0.png
-33.2353850928642,-85.5266098007148,Lieu majeur,0,700,0,11,Cascade Maniquet,"Dans les hauts de Saint Denis, une balade familiale",Saint-Denis,974111,Non,./0.png
-33.2353815201866,-85.5266114720064,Lieu majeur,0,877,0,11,Parc du Bocage,Aire de pique-nique et parc de jeux,Sainte-Suzanne,974200,Non,./0.png
-33.2353997572259,-85.5266079844163,Lieu majeur,0,311,0,11,Plage de lâ€™Hermitage,En famille en toute sÃ©curitÃ©,Saint-Paul,974155,Non,./0.png
-33.2354346582262,-85.5266112540546,Lieu majeur,0,377,0,11,Site de Manapany-les-Bains,Dans la baie de Manapany,Saint-Joseph,974122,Non,./0.png
-33.2353782379602,-85.5266101114928,Lieu majeur,0,455,0,11,Temple Kali Kampal,,Saint-Denis,974111,Non,./0.png
-33.2354327054308,-85.5266126085891,Lieu majeur / Appartient au patrimoine mondial,0,533,11,11,ForÃªt de Mare-Longue,,Saint-Philippe,974177,Non,./0.png
-33.2354079390484,-85.526609806016,Lieu majeur,0,566,0,11,ForÃªt du Tapcal,,Cilaos,974244,Non,./0.png
-33.235395848833,-85.5266119518154,Lieu majeur,0,755,0,11,Bassin La Mer,"Une promenade familiale et aisÃ©e, pas toujours ombragÃ©e",Saint-Benoit,974100,Non,./0.png
-33.2353791651882,-85.5266099206384,Lieu majeur,0,766,0,11,Trois Bancs,,Saint-Denis,974111,Non,./0.png
-33.2354255457722,-85.5266131991072,Lieu majeur,0,833,0,11,Pointe du Tremblet,"La Pointe du Tremblet est un cap du Sud-Est de La RÃ©union,",Saint-Philippe,974177,Non,./0.png
-33.2354094656713,-85.5266114644615,Lieu majeur,0,911,0,11,Piton des Songes,,Plaine des Palmistes (La),974066,Non,./0.png
-33.2354239082125,-85.5266090513107,Lieu majeur,0,44,0,11,Gouffre de l'Etang-SalÃ©,,Etang-SalÃ©,974044,Non,./0.png
-33.2354107442306,-85.5266085645287,Lieu majeur,0,355,0,11,Plage de Saint-Leu,Le lagon - A l'ombre des filaos,Saint-Leu,974133,Non,./0.png
-33.2354072367045,-85.5266102639379,Lieu majeur,0,800,0,11,Mare Ã  Joncs,"SituÃ©e au cÅ“ur du cirque de Cilaos, Ã  1200m d'altitude",Cilaos,974244,Non,./0.png
-33.2354178103369,-85.5266121274449,Lieu majeur,0,11,0,11,Pas de Bellecombe Jacob,La table d'orientation du Pas de Bellecombe,Sainte-Rose,974199,Oui,./0.png
-33.2353910644073,-85.5266094969538,Lieu majeur,0,77,0,11,Cap Noir,,Possession (La),974088,Non,./0.png
-33.2354337336705,-85.526612853886,Lieu majeur,0,666,0,11,Port de Saint-Philippe,,Saint-Philippe,974177,Non,./0.png
-33.2354121198934,-85.5266085728021,Lieu majeur,0,866,0,11,Plage Citerne 46,Plage lagon ombragÃ©e,Saint-Leu,974133,Oui,./0.png
-33.2354349685771,-85.5266123476961,Lieu majeur,0,199,0,11,Cap MÃ©chant,,Saint-Philippe,974177,Non,./0.png
-33.2354017628491,-85.5266101756745,Lieu majeur,0,244,0,11,Gros Morne,,Salazie,974211,Non,./0.png
-33.235404839634,-85.5266098839528,Lieu majeur,0,266,0,11,Col du TaÃ¯bit,,Cilaos,974244,Non,./0.png
-33.2354226298625,-85.5266091686773,Lieu majeur,0,522,0,11,ForÃªt de l'Etang-SalÃ©,,Etang-SalÃ©,974044,Non,./0.png
-33.2353975483317,-85.5266123014931,Lieu majeur,0,733,0,11,Bassin Mangue,,Saint-Benoit,974100,Non,./0.png
-33.2354310294569,-85.526613178645,Lieu majeur,0,799,0,11,Puits Arabe,,Saint-Philippe,974177,Non,./0.png
-33.2353969579458,-85.5266104839631,Lieu majeur / Appartient au patrimoine mondial,0,844,11,11,Piton d'Anchaing,le Piton d'Anchaing culmine Ã  1356 mÃ¨tres d'altitude,Salazie,974211,Non,./0.png
-33.2353828757301,-85.52661141149,Lieu majeur,0,55,0,11,Cascade Niagara,,Sainte-Suzanne,974200,Oui,./0.png
-33.2354126289176,-85.5266107853125,Lieu majeur,0,88,0,11,Grand Bassin,,Tampon (Le),974222,Non,./0.png
-33.2353999547217,-85.5266094774954,Lieu majeur,0,122,0,11,BelvÃ©dÃ¨re du MaÃ¯do,Un point de vue exceptionnel sur le cirque de Mafate -,Saint-Paul,974155,Oui,./0.png
-33.2354221063979,-85.5266089710024,Lieu majeur,0,344,0,11,Plage de l'Etang-SalÃ©,Sable noir et filaos,Etang-SalÃ©,974044,Non,./0.png
-33.2353916790578,-85.5266087313696,Lieu majeur,0,788,0,11,Tour des Roches - Le Moulin Ã  Eau,Route pittoresque qui rattache le monde prÃ©sent au passÃ©,Saint-Paul,974155,Non,./0.png
-33.2354030800955,-85.5266083914115,Lieu majeur,0,888,0,11,L'aire du Tabac,Un point du vue d'exception le long de la route des Tamarins,Saint-Paul,974155,Oui,./0.png
-33.2354050303173,-85.5266097789377,Lieu majeur,0,33,0,11,Grand BÃ©nare,,Saint-Paul,974155,Non,./0.png
-33.2354120785894,-85.5266121289928,Lieu majeur,0,177,0,11,Piton de l'Eau,,Plaine des Palmistes (La),974066,Non,./0.png
-33.2353806838491,-85.526611396067,Lieu majeur,0,588,0,11,Phare de Bel Air,,Sainte-Suzanne,974200,Non,./0.png
-33.2354315076666,-85.5266102492862,Lieu majeur,0,633,0,11,Port de Saint-Pierre,Le premier port de l'Ã®le.,Saint-Pierre,974166,Non,./0.png
-33.2353846866796,-85.526608539837,Lieu majeur,0,644,0,11,Port de la Pointe des Galets,,Port (Le),974077,Non,./0.png
-33.2353928715862,-85.5266112260166,Lieu majeur,0,744,0,11,Cascade Blanche,,Salazie,974211,Non,./0.png
